timestamp,action,symbol,price,qty
1003,CANCEL,PSBF,102.7,3
1006,SELL,VUK,178.02,10
1009,BUY,QJJF,193.61,2
1010,BUY,VUK,196.41,3
1012,BUY,PSBF,187.66,5
1022,BUY,FMXQ,137.39,5
1024,BUY,CHQX,171.07,7
1026,SELL,CHQX,171.9,5
1030,BUY,SSK,172.77,3
1034,SELL,VUK,151.43,1
1037,SELL,FYW,142.21,6
1042,BUY,QJJF,178.81,2
1052,CANCEL,QJJF,168.96,2
1058,BUY,ZWWJ,100.46,8
1066,SELL,QJJF,133.43,3
1073,SELL,SSK,136.85,4
1074,SELL,FMXQ,139.35,8
1077,BUY,PVAU,188.1,9
1079,BUY,SRBQ,163.21,10
1088,SELL,ZWWJ,179.41,2
1093,CANCEL,PVAU,125.05,10
1103,BUY,QJJF,162.32,9
1110,BUY,FYW,162.74,8
1116,BUY,USNZ,132.77,10
1124,BUY,SSK,132.65,10
1126,BUY,GGO,141.33,3
1130,SELL,VUK,157.62,8
1131,BUY,RXC,130.23,9
1133,CANCEL,AHF,169.71,9
1143,SELL,QJJF,142.79,10
1147,BUY,GGO,156.43,6
1156,BUY,FMXQ,194.73,4
1158,BUY,RXC,144.26,5
1162,SELL,PVAU,195.07,9
1165,BUY,PSBF,153.44,7
1166,CANCEL,PVAU,119.01,7
1173,BUY,USNZ,113.58,6
1183,BUY,QJJF,179.68,3
1190,BUY,ZWWJ,119.82,8
1200,SELL,FMXQ,174.22,10
1205,CANCEL,SRBQ,167.73,7
1207,SELL,IEYI,182.04,9
1215,SELL,VUK,156.07,8
1222,BUY,RVU,186.78,3
1224,CANCEL,ZWWJ,151.82,9
1225,CANCEL,ACGP,156.53,5
1229,BUY,EJZ,190.01,1
1237,BUY,FMXQ,188.4,7
1245,BUY,SRBQ,131.38,2
1249,BUY,GGO,114.13,9
1252,BUY,FMXQ,127.64,7
1256,SELL,USNZ,128.16,2
1263,BUY,GGO,179.22,5
1271,SELL,JJI,189.97,10
1281,BUY,RXC,186.38,2
1290,BUY,VUK,199.8,3
1298,BUY,USNZ,119.15,2
1305,BUY,SSK,116.64,5
1306,SELL,ZWWJ,181.01,9
1313,SELL,IEYI,119.55,2
1320,BUY,SSK,116.47,8
1321,SELL,CHQX,199.95,1
1324,BUY,QJJF,160.23,7
1330,SELL,SSK,189.83,7
1336,BUY,PVAU,164.42,8
1343,SELL,CHQX,104.93,9
1346,CANCEL,RVU,162.76,9
1349,BUY,FMXQ,138.15,7
1354,BUY,JJI,144.26,9
1364,BUY,USNZ,164.57,7
1367,SELL,FYW,139.09,1
1369,BUY,ACGP,156.06,8
1371,SELL,RVU,139.19,2
1377,BUY,SSK,140.21,5
1386,SELL,RXC,189.16,7
1390,BUY,VUK,174.34,6
1400,BUY,ZWWJ,111.54,5
1404,BUY,AHF,107.25,10
1408,BUY,SSK,152.76,3
1417,CANCEL,PSBF,118.94,3
1420,BUY,QJJF,107.78,3
1426,SELL,RXC,104.11,7
1431,SELL,USNZ,172.52,2
1441,BUY,ACGP,109.81,5
1444,BUY,EJZ,120.24,2
1447,BUY,VUK,123.12,8
1450,SELL,QJJF,159.65,5
1454,SELL,USNZ,132.36,10
1460,BUY,GGO,115.45,5
1468,BUY,SSK,136.0,7
1476,SELL,IEYI,159.71,5
1481,SELL,SSK,169.21,2
1486,BUY,USNZ,191.38,7
1492,BUY,RVU,131.2,10
1493,BUY,EJZ,198.53,7
1497,SELL,RVU,182.9,3
1506,BUY,GGO,183.62,8
1515,CANCEL,RXC,144.29,10
1522,SELL,RVU,155.99,6
1532,BUY,RXC,177.69,9
1539,CANCEL,PVAU,108.03,1
1541,SELL,USNZ,183.5,5
